speed_knots,dwell_hours,expected_dwell_hours,delay_hours,weather_score,port_congestion,route_segment,cargo_type,is_delayed,is_anomaly,risk_level
16.55,1.82,2.0,15.43,0.622,0.253,Open Ocean,Chemicals,1,0,0
15.73,5.54,4.0,0.4,0.007,0.228,North Atlantic,Chemicals,0,0,0
9.32,1.8,2.0,2.74,0.218,0.142,South China Sea,Electronics,0,0,0
12.84,9.2,4.0,0.18,0.51,0.07,Suez Canal,General,0,0,0
7.17,0.32,6.0,12.85,0.005,0.403,Open Ocean,Electronics,1,0,0
15.35,10.94,6.0,6.99,0.044,0.163,North Atlantic,Perishables,1,0,0
14.42,0.32,6.0,0.86,0.135,0.466,Yellow Sea,Chemicals,0,0,0
21.3,5.48,4.0,21.77,0.726,0.386,Suez Canal,Automotive,1,0,1
13.04,0.54,2.0,13.29,0.62,0.211,Red Sea,General,1,0,0
12.8,4.6,2.0,13.14,0.97,0.049,Suez Canal,Electronics,1,0,1
12.54,2.46,2.0,0.22,0.251,0.474,South China Sea,Chemicals,0,0,0
20.77,9.58,6.0,1.56,0.07,0.314,Yellow Sea,General,0,0,0
10.82,1.68,4.0,0.21,0.085,0.582,North Atlantic,Chemicals,0,0,0
11.37,9.54,8.0,32.37,0.782,0.207,Suez Canal,General,1,0,1
12.47,0.36,2.0,0.46,0.068,0.615,Open Ocean,Automotive,0,0,0
18.25,1.62,4.0,1.2,0.085,0.307,Atlantic,Automotive,0,0,0
19.01,1.09,6.0,1.23,0.006,0.159,Cape of Good Hope,Electronics,0,0,0
9.55,34.61,6.0,0.07,0.217,0.297,English Channel,General,0,1,0
14.47,1.39,4.0,0.16,0.106,0.59,Open Ocean,Chemicals,0,0,0
14.71,9.11,4.0,2.19,0.103,0.011,Cape of Good Hope,Perishables,0,0,0
14.45,2.18,8.0,0.69,0.019,0.073,Cape of Good Hope,Electronics,0,0,0
10.98,7.99,6.0,0.09,0.514,0.048,Strait of Malacca,Perishables,0,0,0
17.56,1.15,2.0,4.5,0.121,0.159,English Channel,Automotive,1,0,0
20.47,1.48,6.0,28.12,0.858,0.166,Suez Canal,Perishables,1,0,1
15.62,2.11,2.0,4.92,0.447,0.347,Strait of Malacca,Electronics,1,0,0
15.15,3.49,8.0,11.84,0.811,0.307,Indian Ocean,Automotive,1,0,1
13.62,22.1,8.0,0.81,0.214,0.172,North Atlantic,Chemicals,0,0,0
13.9,5.47,6.0,4.06,0.07,0.278,Indian Ocean,Perishables,1,0,0
14.53,11.36,8.0,2.08,0.381,0.266,Atlantic,Electronics,0,0,0
14.43,9.78,8.0,0.92,0.465,0.374,North Atlantic,Perishables,0,0,0
18.07,11.88,6.0,3.1,0.381,0.069,Pacific,Perishables,0,0,0
13.22,9.78,6.0,1.41,0.164,0.165,Pacific,Perishables,0,0,0
12.69,12.83,8.0,43.04,0.771,0.114,Cape of Good Hope,Perishables,1,0,1
14.86,0.55,2.0,0.04,0.11,0.198,Indian Ocean,Electronics,0,0,0
13.26,1.97,8.0,1.26,0.574,0.32,Open Ocean,Electronics,0,0,0
17.5,0.26,2.0,1.9,0.006,0.286,Yellow Sea,Perishables,0,0,0
8.9,8.52,6.0,2.34,0.229,0.145,English Channel,Perishables,0,0,0
12.16,0.09,2.0,0.58,0.391,0.362,Open Ocean,Automotive,0,0,0
13.9,13.09,4.0,2.17,0.014,0.192,Arabian Sea,Chemicals,0,0,0
15.23,12.77,8.0,2.28,0.176,0.26,Pacific,Chemicals,0,0,0
13.5,1.56,6.0,0.18,0.377,0.459,North Atlantic,General,0,0,0
11.03,4.02,4.0,0.84,0.164,0.346,North Atlantic,Electronics,0,0,0
12.66,1.09,6.0,9.24,0.267,0.167,Mediterranean,Automotive,1,0,0
12.32,0.97,2.0,0.35,0.015,0.49,Yellow Sea,General,0,0,0
14.27,2.37,2.0,13.22,0.717,0.143,Strait of Malacca,Automotive,1,0,0
13.7,2.24,6.0,1.57,0.063,0.343,Atlantic,Automotive,0,0,0
19.16,0.19,2.0,1.24,0.021,0.369,Mediterranean,Electronics,0,0,0
9.72,0.45,2.0,1.21,0.12,0.054,Open Ocean,Electronics,0,0,0
13.48,14.71,4.0,0.22,0.339,0.26,Pacific,Automotive,0,0,0
15.57,22.67,8.0,0.45,0.009,0.132,Open Ocean,General,0,0,0
15.06,2.45,2.0,3.26,0.008,0.339,Indian Ocean,Perishables,0,0,0
17.15,6.49,6.0,1.15,0.227,0.15,Open Ocean,General,0,0,0
12.05,1.91,2.0,0.17,0.285,0.195,Strait of Malacca,General,0,0,0
8.01,0.15,2.0,0.93,0.01,0.077,Cape of Good Hope,Chemicals,0,0,0
18.72,6.27,8.0,9.69,0.197,0.179,English Channel,General,1,0,0
15.32,3.87,8.0,1.44,0.183,0.22,Indian Ocean,Automotive,0,0,0
17.83,2.71,4.0,42.44,0.748,0.665,Red Sea,Automotive,1,0,1
17.32,4.04,8.0,1.19,0.422,0.113,Red Sea,Automotive,0,0,0
12.23,9.81,8.0,0.46,0.032,0.409,Pacific,Chemicals,0,0,0
17.9,17.28,4.0,1.01,0.069,0.34,Yellow Sea,General,0,1,0
11.32,0.11,6.0,5.62,0.263,0.115,Strait of Malacca,Chemicals,1,0,0
15.8,1.17,2.0,1.79,0.466,0.345,Mediterranean,Perishables,0,0,0
14.6,0.96,8.0,5.12,0.714,0.297,Suez Canal,Perishables,1,0,0
19.45,10.02,2.0,0.76,0.305,0.137,Atlantic,Electronics,0,1,0
13.58,0.26,2.0,0.52,0.313,0.134,Yellow Sea,Chemicals,0,0,0
13.09,1.11,6.0,1.3,0.219,0.494,Indian Ocean,Chemicals,0,0,0
10.46,24.9,8.0,0.77,0.003,0.39,North Atlantic,Perishables,0,0,0
13.16,3.25,2.0,2.29,0.119,0.109,English Channel,Chemicals,0,0,0
13.33,7.41,6.0,2.01,0.076,0.308,Indian Ocean,Automotive,0,0,0
18.09,6.1,6.0,1.63,0.096,0.26,North Atlantic,Automotive,0,0,0
13.24,2.57,8.0,2.67,0.171,0.067,North Atlantic,Automotive,0,0,0
10.29,4.6,6.0,2.48,0.72,0.068,Strait of Malacca,Electronics,0,0,0
12.15,2.53,2.0,0.88,0.195,0.576,South China Sea,Automotive,0,0,0
10.96,3.57,2.0,0.42,0.215,0.273,English Channel,Automotive,0,0,0
16.2,1.8,4.0,1.1,0.593,0.387,Strait of Malacca,General,0,0,0
17.94,5.15,8.0,0.2,0.211,0.319,South China Sea,General,0,0,0
15.28,3.5,2.0,2.1,0.259,0.265,Arabian Sea,Perishables,0,0,0
10.69,16.53,8.0,1.01,0.165,0.329,North Atlantic,Chemicals,0,0,0
18.43,8.1,4.0,3.09,0.21,0.208,Arabian Sea,Perishables,0,0,0
16.14,0.57,4.0,2.82,0.637,0.387,Strait of Malacca,General,0,0,0
10.06,2.82,4.0,0.04,0.06,0.099,Pacific,Automotive,0,0,0
12.62,0.99,6.0,0.21,0.516,0.213,Strait of Malacca,General,0,0,0
14.48,0.53,2.0,1.04,0.064,0.363,Mediterranean,Electronics,0,0,0
10.49,0.78,4.0,1.75,0.292,0.211,Yellow Sea,Chemicals,0,0,0
15.37,0.02,2.0,4.84,0.131,0.13,South China Sea,Perishables,1,0,0
10.42,2.23,8.0,0.29,0.227,0.383,South China Sea,Automotive,0,0,0
13.41,0.16,4.0,1.46,0.25,0.11,Suez Canal,Electronics,0,0,0
18.68,35.57,8.0,1.24,0.098,0.448,Cape of Good Hope,Automotive,0,1,0
12.37,11.92,8.0,0.17,0.274,0.268,English Channel,Chemicals,0,0,0
16.64,9.15,6.0,1.29,0.073,0.274,Mediterranean,Electronics,0,0,0
16.06,5.06,2.0,10.57,0.793,0.4,Strait of Malacca,Automotive,1,0,1
12.55,5.48,8.0,2.76,0.433,0.335,Strait of Malacca,General,0,0,0
15.82,1.56,8.0,1.56,0.149,0.108,Open Ocean,General,0,0,0
14.06,7.57,8.0,4.26,0.019,0.193,Yellow Sea,Electronics,1,0,0
14.74,16.95,8.0,1.49,0.147,0.217,English Channel,Chemicals,0,0,0
18.46,0.14,4.0,5.65,0.472,0.163,Indian Ocean,Perishables,1,0,0
7.72,2.18,2.0,1.52,0.001,0.201,Cape of Good Hope,Perishables,0,0,0
17.23,7.4,8.0,3.11,0.303,0.284,English Channel,General,0,0,0
12.05,1.04,8.0,0.38,0.341,0.069,Cape of Good Hope,Automotive,0,0,0
16.65,12.32,8.0,0.81,0.02,0.347,Arabian Sea,General,0,0,0
15.05,1.76,2.0,1.24,0.163,0.335,Yellow Sea,Chemicals,0,0,0
15.59,1.23,2.0,0.29,0.154,0.597,English Channel,Electronics,0,0,0
15.41,0.11,8.0,0.62,0.135,0.208,English Channel,Electronics,0,0,0
8.19,0.27,8.0,0.11,0.084,0.391,Atlantic,Automotive,0,0,0
15.55,7.96,2.0,0.24,0.133,0.342,Mediterranean,Electronics,0,0,0
15.04,4.33,8.0,11.45,0.755,0.33,Strait of Malacca,Automotive,1,0,0
10.2,4.36,4.0,4.02,0.064,0.167,Open Ocean,Perishables,1,0,0
14.22,9.26,6.0,0.46,0.058,0.279,Arabian Sea,General,0,0,0
12.92,1.64,2.0,0.93,0.403,0.647,Red Sea,General,0,0,0
9.45,2.87,6.0,4.93,0.563,0.201,South China Sea,Electronics,1,0,0
15.61,2.37,4.0,0.09,0.155,0.113,Pacific,Perishables,0,0,0
10.15,8.5,8.0,1.08,0.018,0.118,Pacific,Automotive,0,0,0
18.24,2.58,2.0,0.82,0.148,0.376,South China Sea,Automotive,0,0,0
10.23,3.11,4.0,0.82,0.284,0.043,Atlantic,General,0,0,0
7.28,13.99,8.0,6.29,0.038,0.154,Indian Ocean,Automotive,1,0,0
17.77,0.19,6.0,0.15,0.303,0.14,North Atlantic,Chemicals,0,0,0
10.98,2.88,4.0,0.6,0.057,0.07,Cape of Good Hope,General,0,0,0
16.0,4.93,6.0,30.68,0.779,0.456,Suez Canal,Chemicals,1,0,1
13.73,9.67,4.0,0.2,0.199,0.165,Atlantic,Chemicals,0,0,0
12.06,6.7,8.0,1.97,0.059,0.232,Open Ocean,Electronics,0,0,0
10.18,0.28,8.0,4.22,0.264,0.246,Yellow Sea,Electronics,1,0,0
15.93,3.38,6.0,13.17,0.877,0.175,Suez Canal,Automotive,1,0,1
13.26,7.06,2.0,4.44,0.118,0.319,English Channel,General,1,0,0
14.32,0.91,6.0,0.59,0.821,0.244,Strait of Malacca,Electronics,0,0,0
9.63,2.68,8.0,3.41,0.289,0.162,North Atlantic,General,0,0,0
12.25,4.25,6.0,1.06,0.431,0.262,Red Sea,Chemicals,0,0,0
16.32,2.82,8.0,3.54,0.145,0.326,Pacific,Automotive,0,0,0
11.88,6.44,4.0,8.46,0.629,0.3,Suez Canal,General,1,0,0
11.31,5.4,6.0,0.18,0.002,0.364,Indian Ocean,Perishables,0,0,0
15.08,2.37,2.0,4.41,0.249,0.303,Open Ocean,Perishables,1,0,0
15.86,2.36,2.0,3.9,0.236,0.274,Arabian Sea,General,0,0,0
13.25,0.1,8.0,2.87,0.116,0.181,Atlantic,Chemicals,0,0,0
10.91,1.46,2.0,1.64,0.094,0.34,English Channel,Chemicals,0,0,0
14.33,7.15,2.0,0.32,0.065,0.558,English Channel,Electronics,0,0,0
9.65,3.61,2.0,2.65,0.704,0.252,Red Sea,Perishables,0,0,0
13.95,1.56,2.0,0.12,0.243,0.066,Arabian Sea,General,0,0,0
15.9,3.41,8.0,10.18,0.238,0.672,Open Ocean,General,1,0,0
17.3,2.48,4.0,2.34,0.129,0.263,Mediterranean,Perishables,0,0,0
12.22,0.56,4.0,3.98,0.196,0.186,Strait of Malacca,Chemicals,0,0,0
13.91,2.69,8.0,1.36,0.079,0.361,South China Sea,Perishables,0,0,0
14.67,18.75,6.0,1.97,0.034,0.244,Cape of Good Hope,General,0,0,0
17.01,21.19,8.0,1.96,0.008,0.491,South China Sea,Perishables,0,0,0
17.04,1.34,6.0,14.67,0.604,0.178,Open Ocean,Chemicals,1,0,0
15.46,0.32,4.0,1.39,0.172,0.473,South China Sea,Electronics,0,0,0
14.64,5.2,8.0,0.62,0.026,0.656,Indian Ocean,General,0,0,0
11.73,3.88,6.0,1.4,0.063,0.357,Arabian Sea,Automotive,0,0,0
15.01,6.89,4.0,7.79,0.151,0.707,Open Ocean,Perishables,1,0,0
10.95,5.49,8.0,3.19,0.071,0.173,Pacific,Perishables,0,0,0
14.05,0.03,8.0,4.04,0.112,0.358,South China Sea,Perishables,1,0,0
12.54,14.44,6.0,6.77,0.118,0.494,Cape of Good Hope,Automotive,1,0,0
11.55,2.25,2.0,1.29,0.464,0.367,Mediterranean,Chemicals,0,0,0
12.48,0.41,2.0,2.81,0.338,0.128,Strait of Malacca,Chemicals,0,0,0
17.92,0.29,2.0,0.88,0.32,0.546,Yellow Sea,Perishables,0,0,0
15.92,3.47,2.0,2.67,0.413,0.263,Cape of Good Hope,Automotive,0,0,0
14.25,7.23,8.0,1.47,0.002,0.18,Arabian Sea,Electronics,0,0,0
11.83,5.14,6.0,0.51,0.052,0.154,Indian Ocean,General,0,0,0
10.16,6.72,8.0,0.46,0.153,0.25,Atlantic,General,0,0,0
17.46,0.54,8.0,0.16,0.069,0.063,North Atlantic,General,0,0,0
14.69,7.76,6.0,0.82,0.338,0.088,Atlantic,Electronics,0,0,0
15.55,4.42,2.0,0.16,0.387,0.24,Arabian Sea,General,0,0,0
9.12,3.16,4.0,0.57,0.267,0.262,Arabian Sea,Perishables,0,0,0
15.77,4.18,8.0,3.71,0.676,0.333,Cape of Good Hope,General,0,0,0
12.28,5.75,2.0,2.05,0.415,0.148,Yellow Sea,Chemicals,0,0,0
13.43,19.34,6.0,0.09,0.252,0.333,South China Sea,Electronics,0,0,0
7.65,15.07,8.0,8.08,0.279,0.197,Indian Ocean,General,1,0,0
15.02,5.75,8.0,9.77,0.212,0.517,Cape of Good Hope,Electronics,1,0,0
12.73,0.89,2.0,0.07,0.302,0.326,Yellow Sea,General,0,0,0
14.1,2.66,8.0,5.84,0.528,0.492,Suez Canal,Perishables,1,0,0
13.43,13.86,8.0,0.09,0.277,0.232,South China Sea,Perishables,0,0,0
9.78,4.24,6.0,2.13,0.196,0.137,Open Ocean,Electronics,0,0,0
14.33,2.74,8.0,1.17,0.306,0.287,Cape of Good Hope,Perishables,0,0,0
12.25,0.72,2.0,1.43,0.09,0.51,Atlantic,Perishables,0,0,0
16.59,0.54,4.0,0.04,0.575,0.267,Strait of Malacca,Automotive,0,0,0
8.6,6.08,2.0,5.4,0.22,0.372,Strait of Malacca,Electronics,1,0,0
17.25,9.76,6.0,0.4,0.022,0.144,Pacific,Perishables,0,0,0
17.17,3.43,6.0,3.71,0.121,0.43,Arabian Sea,General,0,0,0
13.03,9.76,8.0,3.22,0.265,0.214,South China Sea,General,0,0,0
15.26,2.06,8.0,0.75,0.302,0.417,Cape of Good Hope,Chemicals,0,0,0
18.06,7.15,4.0,2.64,0.384,0.109,South China Sea,Chemicals,0,0,0
9.45,1.14,4.0,3.07,0.12,0.213,Open Ocean,Automotive,0,0,0
10.25,11.12,8.0,7.06,0.048,0.131,South China Sea,Chemicals,1,0,0
11.72,3.24,4.0,13.55,0.868,0.365,Red Sea,General,1,0,1
11.83,5.19,2.0,2.67,0.017,0.107,Arabian Sea,Perishables,0,0,0
17.02,2.45,2.0,0.22,0.482,0.563,Arabian Sea,Chemicals,0,0,0
13.36,3.93,4.0,5.62,0.1,0.048,Indian Ocean,Automotive,1,0,0
16.27,8.93,8.0,4.92,0.343,0.276,Indian Ocean,General,1,0,0
19.03,22.36,4.0,3.41,0.085,0.342,Mediterranean,General,0,1,0
11.9,19.37,8.0,0.81,0.164,0.502,English Channel,Electronics,0,0,0
8.52,1.79,8.0,1.55,0.457,0.329,Strait of Malacca,Chemicals,0,0,0
13.37,19.75,8.0,3.06,0.331,0.172,Suez Canal,General,0,0,0
18.5,0.09,4.0,17.39,0.743,0.242,Strait of Malacca,Perishables,1,0,0
12.87,5.81,8.0,2.71,0.221,0.199,Arabian Sea,Automotive,0,0,0
8.04,12.46,8.0,0.43,0.164,0.058,Indian Ocean,General,0,0,0
7.58,8.63,4.0,4.26,0.361,0.342,Arabian Sea,Automotive,1,0,0
10.8,0.01,6.0,0.22,0.246,0.555,Yellow Sea,Electronics,0,0,0
15.27,0.48,2.0,1.39,0.118,0.143,English Channel,Perishables,0,0,0
18.67,6.82,6.0,15.68,0.845,0.44,Suez Canal,Electronics,1,0,1
15.06,0.46,2.0,3.15,0.122,0.44,Yellow Sea,Automotive,0,0,0
21.86,0.5,2.0,4.15,0.395,0.299,Atlantic,Chemicals,1,0,0
12.84,3.6,6.0,3.25,0.074,0.177,Atlantic,Chemicals,0,0,0
16.55,15.07,8.0,2.44,0.128,0.008,Cape of Good Hope,Perishables,0,0,0
13.72,2.77,6.0,0.2,0.009,0.268,South China Sea,General,0,0,0
17.16,11.64,8.0,2.71,0.145,0.341,Pacific,Electronics,0,0,0
11.42,0.85,2.0,2.84,0.15,0.135,South China Sea,General,0,0,0
15.24,2.52,2.0,0.54,0.109,0.091,Mediterranean,Perishables,0,0,0
13.53,0.57,4.0,1.62,0.097,0.587,Suez Canal,Perishables,0,0,0
9.41,5.43,6.0,0.06,0.048,0.459,Open Ocean,Automotive,0,0,0
18.3,4.39,2.0,1.15,0.228,0.311,Arabian Sea,Automotive,0,0,0
9.71,5.51,4.0,0.22,0.136,0.122,Yellow Sea,Perishables,0,0,0
17.3,0.06,4.0,4.0,0.486,0.23,Red Sea,Chemicals,0,0,0
14.43,7.92,6.0,0.93,0.233,0.326,Indian Ocean,Chemicals,0,0,0
12.46,7.94,2.0,2.25,0.097,0.232,Mediterranean,Automotive,0,0,0
12.44,7.17,6.0,3.18,0.209,0.446,South China Sea,Perishables,0,0,0
16.86,0.25,4.0,6.27,0.199,0.373,Arabian Sea,Perishables,1,0,0
10.69,3.59,2.0,0.18,0.249,0.184,Mediterranean,Perishables,0,0,0
16.79,9.39,8.0,0.45,0.178,0.508,Indian Ocean,Electronics,0,0,0
16.6,1.25,2.0,2.65,0.812,0.17,Red Sea,Perishables,0,0,0
14.93,1.04,4.0,0.71,0.342,0.073,Strait of Malacca,General,0,0,0
12.65,8.97,8.0,0.34,0.01,0.184,Open Ocean,General,0,0,0
15.6,6.51,4.0,1.74,0.026,0.108,South China Sea,Perishables,0,0,0
8.34,2.51,2.0,33.88,0.781,0.178,Suez Canal,Electronics,1,0,1
10.88,2.71,2.0,7.87,0.406,0.482,Red Sea,Perishables,1,0,0
15.03,1.73,2.0,3.11,0.848,0.631,Red Sea,Chemicals,0,0,1
15.33,3.7,4.0,4.49,0.228,0.52,Mediterranean,Chemicals,1,0,0
15.56,0.39,2.0,0.0,0.126,0.358,Mediterranean,Electronics,0,0,0
13.56,0.33,2.0,0.9,0.183,0.354,Indian Ocean,Perishables,0,0,0
14.88,0.04,6.0,5.47,0.308,0.404,Pacific,Chemicals,1,0,0
13.35,0.19,6.0,10.77,0.79,0.111,Strait of Malacca,Automotive,1,0,0
15.95,2.17,8.0,0.96,0.009,0.402,Arabian Sea,Electronics,0,0,0
18.29,6.32,6.0,1.0,0.083,0.274,Pacific,Perishables,0,0,0
18.6,3.25,6.0,0.7,0.081,0.286,Yellow Sea,Chemicals,0,0,0
14.99,9.76,4.0,3.16,0.08,0.186,Arabian Sea,Automotive,0,0,0
12.71,2.42,8.0,0.36,0.154,0.382,Mediterranean,Chemicals,0,0,0
14.26,0.02,4.0,0.57,0.036,0.416,Mediterranean,Automotive,0,0,0
18.44,11.33,8.0,27.46,0.671,0.278,Strait of Malacca,Perishables,1,0,1
15.04,1.43,4.0,2.15,0.271,0.391,Yellow Sea,Electronics,0,0,0
14.79,7.22,6.0,5.58,0.665,0.3,Strait of Malacca,Automotive,1,0,0
14.51,0.14,2.0,21.88,0.166,0.769,Arabian Sea,Automotive,1,0,0
15.75,0.55,2.0,0.21,0.038,0.418,Atlantic,Perishables,0,0,0
12.53,0.8,2.0,0.96,0.049,0.31,Cape of Good Hope,Automotive,0,0,0
11.62,0.46,2.0,0.75,0.02,0.317,Yellow Sea,Automotive,0,0,0
14.48,5.27,2.0,2.36,0.331,0.471,Arabian Sea,Chemicals,0,0,0
16.21,7.17,4.0,1.07,0.464,0.12,Cape of Good Hope,Chemicals,0,0,0
13.5,6.5,8.0,0.2,0.012,0.244,Indian Ocean,Automotive,0,0,0
11.37,8.69,4.0,1.52,0.587,0.328,Pacific,Chemicals,0,0,0
18.88,13.44,6.0,8.49,0.615,0.398,Red Sea,Automotive,1,0,0
12.76,1.9,6.0,9.28,0.001,0.101,Arabian Sea,Chemicals,1,0,0
12.58,1.7,8.0,4.98,0.336,0.188,Cape of Good Hope,Electronics,1,0,0
16.85,0.75,4.0,0.53,0.108,0.216,Atlantic,General,0,0,0
18.97,5.92,2.0,2.63,0.142,0.14,North Atlantic,Automotive,0,0,0
13.92,3.01,8.0,2.78,0.119,0.469,Arabian Sea,Electronics,0,0,0
11.85,4.23,8.0,0.66,0.067,0.113,South China Sea,General,0,0,0
12.49,0.32,6.0,3.71,0.388,0.152,Open Ocean,Perishables,0,0,0
10.44,10.59,8.0,0.57,0.17,0.434,English Channel,Automotive,0,0,0
16.78,17.38,8.0,3.48,0.523,0.109,Arabian Sea,Automotive,0,0,0
15.55,8.55,8.0,0.37,0.464,0.3,Strait of Malacca,Automotive,0,0,0
20.8,3.78,6.0,0.45,0.199,0.071,Cape of Good Hope,Electronics,0,0,0
12.03,3.02,2.0,15.35,0.744,0.12,Red Sea,Chemicals,1,0,0
15.35,0.04,8.0,3.98,0.712,0.073,Strait of Malacca,Electronics,0,0,0
9.22,1.25,2.0,0.7,0.002,0.059,North Atlantic,Electronics,0,0,0
18.87,3.6,8.0,4.96,0.082,0.337,Atlantic,Perishables,1,0,0
16.64,4.61,2.0,0.63,0.233,0.305,Yellow Sea,General,0,0,0
17.56,2.34,4.0,4.44,0.006,0.402,North Atlantic,Automotive,1,0,0
16.77,1.62,2.0,28.77,0.735,0.501,Red Sea,Chemicals,1,0,1
13.73,2.38,6.0,2.0,0.058,0.331,North Atlantic,Automotive,0,0,0
19.2,0.59,2.0,1.35,0.239,0.266,Cape of Good Hope,Automotive,0,0,0
13.11,2.97,4.0,7.42,0.093,0.495,Yellow Sea,Chemicals,1,0,0
17.31,2.96,4.0,1.57,0.064,0.399,South China Sea,Chemicals,0,0,0
17.03,3.55,8.0,0.8,0.314,0.221,English Channel,Chemicals,0,0,0
18.28,1.47,4.0,3.38,0.148,0.116,Arabian Sea,General,0,0,0
14.0,3.61,6.0,2.09,0.152,0.1,Yellow Sea,Chemicals,0,0,0
14.52,0.88,4.0,0.35,0.04,0.124,Arabian Sea,Electronics,0,0,0
14.33,0.24,4.0,2.02,0.216,0.212,Mediterranean,Perishables,0,0,0
16.58,0.76,4.0,0.77,0.349,0.155,North Atlantic,Chemicals,0,0,0
20.81,1.78,4.0,1.27,0.111,0.295,South China Sea,Electronics,0,0,0
9.26,4.46,4.0,13.35,0.782,0.131,Strait of Malacca,Automotive,1,0,0
16.52,11.16,8.0,1.82,0.366,0.37,Arabian Sea,Perishables,0,0,0
15.33,1.18,2.0,1.69,0.002,0.236,Pacific,Perishables,0,0,0
15.3,2.89,2.0,0.41,0.14,0.163,Indian Ocean,Automotive,0,0,0
12.39,11.58,6.0,0.05,0.472,0.19,Mediterranean,Automotive,0,0,0
12.45,0.62,6.0,3.69,0.014,0.502,Pacific,Automotive,0,0,0
9.09,0.12,2.0,0.11,0.231,0.269,Pacific,Electronics,0,0,0
12.59,0.19,8.0,0.54,0.054,0.42,Pacific,Chemicals,0,0,0
15.49,3.54,4.0,3.71,0.042,0.131,Atlantic,General,0,0,0
14.34,0.51,2.0,1.73,0.12,0.12,South China Sea,Automotive,0,0,0
15.02,6.3,2.0,0.12,0.343,0.604,Cape of Good Hope,General,0,0,0
11.0,10.48,8.0,2.63,0.212,0.327,Mediterranean,Chemicals,0,0,0
